Product Name,Active Ingredient,Application Type,Product Registrant,Date of Approval,Registration No.
AMGEVITA SOLUTION FOR INJECTION IN PREFILLED SYRINGE 40MG/0.8MLAMGEVITA SOLUTION FOR INJECTION IN PREFILLED SYRINGE 20MG/0.4MLAMGEVITA SOLUTION FOR INJECTION IN PREFILLED AUTOINJECTOR 40MG/0.8ML,Adalimumab,NDA-2/3: Biosimilar,AMGEN SINGAPORE MANUFACTURING PTE. LTD.,PFS: 02/07/2019PF autoinjector: 31/07/2019,"SIN15731P, SIN15732P; SIN15760P"
KEVZARA SOLUTION FOR INJECTION IN PRE-FILLED PEN 150MG AND 200MG,Sarilumab,NDA-2: New dosage formNDA-3: New strength,SANOFI-AVENTIS SINGAPORE PTE LTD,08/07/2019,SIN15737P and SIN15738P
TEKCIS RADIONUCLIDE GENERATOR 2-50GBQ,Sodium molybdate,NDA-2,QT INSTRUMENT (S) PTE LTD,10/07/2019,SIN15741P
"SYMVENU® HARD CAPSULES 1.5MG, 3MG, 4.5MG, 6MG",Cariprazine,NDA-1: New chemical entityNDA-3: New strength,MITSUBISHI TANABE PHARMA SINGAPORE PTE LTD,11/07/2019,"SIN15743P, SIN15744P, SIN15745P, SIN15746P"
BESPONSA POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 1MG/VIAL,Inotuzumab Ozogamicin,NDA-1,PFIZER PRIVATE LIMITED,17/07/2019,SIN15747P
BAT STERILE SOLUTION FOR INJECTION,"Botulism antitoxin (equine) serotypes A, B, C, D, E, F, G",NDA-1,EMERGENT SALES AND MARKETING SINGAPORE PTE LTD,18/07/2019,SIN15749P
CALQUENCE HARD CAPSULES 100MG,Acalabrutinib,NDA-1: New chemical entity,ASTRAZENECA SINGAPORE PTE LTD,25/07/2019,SIN15753P
"PREVYMIS FILM COATED TABLET 240MG, 480MGPREVYMIS CONCENTRATE FOR SOLUTION FOR INFUSION 20MG/ML",Letermovir,NDA 1/2/3,MSD PHARMA (SINGAPORE) PTE LTD,30/07/2019,"SIN15757P, SIN15758P, SIN15759P"
CRESEMBA POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 200MG/ CRESEMBA CAPSULES 100MG,Isavuconazonium sulfate,NDA-1/ NDA-2,PFIZER PRIVATE LIMITED,13/06/2019,SIN15717P/ SIN15716P
HUMIRA SOLUTION FOR INJECTION 20MG/0.2ML (PRE-FILLED SYRINGE),Adalimumab,NDA-2: New strength / dosing regimen,ABBVIE PTE LTD,17/06/2019,SIN15718P
FUCICORT LIPID CREAM,"Betamethasone valerate, Fusidic acid",NDA-2: New dosage form,LEO PHARMA ASIA PTE LTD,18/06/2019,SIN15720P
PHOXILIUM SOLUTION FOR HAEMODIALYSIS/ HAEMOFILTRATION,Disodium Phosphate Dihydrate + Potassium Chloride + Sodium Chloride + Sodium Hydrogen Carbonate + Magnesium Chloride Hexahydrate + Calcium Chloride Dihydrate,NDA-2: New combination,BAXTER HEALTHCARE (ASIA) PTE LTD,27/06/2019,SIN15730P
"PERGOVERIS SOLUTION FOR INJECTION IN PRE-FILLED PEN (300IU+150IU)/0.48ML, (450IU+ 225 IU)/0.72ML, (900IU + 450IU)/1.44ML","Follitropin alfa (r-hFSH), Lutropin alfa (r-LH)",NDA-2: New dosage formNDA-3: New strength,MERCK PTE LTD,11/06/2019,"SIN15711P, SIN15712P, SIN15713P"
XOFLUZA TABLETS 20MG AND 40MG,Baloxavir marboxil,NDA-1: New chemical entity,ROCHE SINGAPORE PTE LTD,03/05/2019,SIN15679P and SIN15680P
FASENRA SOLUTION FOR INJECTION 30MG/ML (PRE FILLED SYRINGE),Benralizumab,NDA-1: New biological entity,ASTRAZENECA SINGAPORE PTE LTD,09/05/2019,SIN15683P
KEVZARA SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 150 AND 200MG,Sarilumab,NDA-1: New biological entityNDA-3: New strength,SANOFI-AVENTIS SINGAPORE PTE LTD,09/05/2019,SIN15681P and SIN15682P
NEURONOX LYOPHILLISED POWDER FOR INJECTION 100 UNITS/VIAL,Clostridium botulinum toxin type A,NDA-2,FONDACO PTE LTD,24/05/2019,SIN15692P
MAVENCLAD TABLET 10MG,Cladribine,NDA-1,MERCK PTE. LTD.,24/05/2019,SIN15691P
ERLEADA FILM-COATED TABLET 60MG,Apalutamide,NDA-1,JOHNSON & JOHNSON PTE LTD,27/05/2019,SIN15698P
BETADINE ANTISEPTIC LIQIUD 10% W/V,Povidone-Iodine 10%,NDA-2,MUNDIPHARMA PHARMACEUTICALS PTE LTD,28/05/2019,SIN15699P
PRECEDEX IN 0.9% SODIUM CHLORIDE INJECTION 4MCG/ML,Dexmedetomidine Hydrochloride,NDA-2,PFIZER PTE LTD,22/05/2019,SIN15689P
AIRTAL FILM COATED TABLETS 100mg,Aceclofenac,NDA-1,ZUELLIG PHARMA PTE. LTD.,29/05/2019,SIN15700P
TRESIBA FLEXTOUCH SOLUTION FOR INJECTION IN PRE-FILLED PEN 100 U/MLTRESIBA FLEXTOUCH SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,Insulin Degludec,NDA-1/NDA-3,NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,31/05/2019,SIN15703PSIN15704P
RYZODEG® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 100U/ml,Insulin Degludec + Insulin Aspart,NDA-2,NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,31/05/2019,SIN15706P
VOSEVI FILM-COATED TABLETS 400MG/100MG/100MG,Sofosbuvir + Velpatasvir + Voxilaprevir,NDA-1,GILEAD SCIENCES SINGAPORE PTE. LTD,31/05/2019,SIN15705P
"ALUNBRIG FILM-COATED TABLET 30 MG, ALUNBRIG FILM-COATED TABLET 90 MG, ALUNBRIG FILM-COATED TABLET 180 MG, ALUNBRIG INITIATION PACK FILM-COATED TABLET 90 MG & 180 MG",Brigatinib,NDA-1: New chemical entity,TAKEDA PHARMACEUTICALS (ASIA PACIFIC) PTE. LTD.,04/04/2019,"SIN15658P, SIN15659P, SIN15660P, SIN15661P"
"LYNPARZA FILM COATED TABLET 100MG, 150MG",Olaparib,NDA-2: New dosage form and NDA-3: New strength,ASTRAZENECA PTE LTD,09/04/2019,"SIN15662P, SIN15663P"
CHOLIB FILM-COATED TABLET 145/20MG,Fenofibrate/Simvastatin,NDA-2: New combination,ABOTT LABORATORIES PTE LTD,09/04/2019,SIN15664P
PHENYLEPHRINE AGUETTANT SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 50MCG/ML,Phenylephrine hydrochloride,NDA-2: New dosage form,INTEGA PTE LTD,15/04/2019,SIN15668P
DAFLON FILM-COATED TABLET 1000 mg,Diosmin/Hesperidin,NDA-3: New strength,SERVIER (S) PTE LTD,16/04/2019,SIN15669P
TRUXIMA CONCENTRATE FOR SOLUTION FOR INFUSION 500MG/50ML,Rituximab,NDA-2: Biosimilar,CELLTRION HEALTHCARE SINGAPORE PRIVATE LIMITED,24/04/2019,SIN15671P
BAVENCIO CONCENTRATE FOR SOLUTION FOR INFUSION 200MG/10ML,Avelumab,NDA-1: New chemical entity,MERCK PTE LTD,25/04/2019,SIN15672P
DUPIXENT SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 300MG / 2ML,Dupilimumab,NDA-1: New chemical entity,SANOFI-AVENTIS SINGAPORE PTE LTD,29/04/2019,SIN15675P
KESTINE FILM-COATED TABLET 20MG,Micronized ebastine,NDA-3: New strength,ZUELLIG PHARMA PTE LTD,12/03/2019,SIN15644P
"TRINOMIA HARD CAPSULES 100MG/20MG/10MG, 100MG/20MG/2.5MG, 100MG/20MG/5MG","Acetysalicylic acid, Atorvastatin, Ramipril","NDA-2: New combination, NDA-3: New strength",DCH AURIGA SINGAPORE,19/03/2019,"SIN15646P, SIN15647P, SIN15648P"
JULUCA FILM-COATED TABLET 50MG/25MG,Dolutegravir / Rilpivirine,NDA-2: New combination,GLAXOSMITHKLINE PTE LTD,22/03/2019,SIN15649P
"REKOVELLE SOLUTION FOR INJECTION IN A PRE-FILLED PEN 12MCG/0.36ML, 36MCG/1.08ML, 72MCG/2.16ML",Follitropin Delta,"NDA-2: New dosage form, NDA-3: New strength",FERRING PHARMACEUTICALS PRIVATE LIMITED,25 MAR 2019,"SIN15650P, SIN15651P, SIN15652P"
"CARIVALAN FILM-COATED TABLET 6.25 MG/5 MG, 6.25 MG/7.5 MG, 12.5 MG/ 5 MG, 12.5 MG/7.5 MG, 25 MG/5 MG, 25 MG/ 7.5 MG","Carvedilol, Ivabradine","NDA-2: New combination, NDA-3: New strength",SERVIER (S) PTE LTD,12/02/2019,"SIN15624P, SIN15625P, SIN15626P, SIN15627P, SIN15628P, SIN15629P"
TRUMENBA SUSPENSION FOR INJECTION IN SINGLE-DOSE PRE-FILLED SYRINGE 0.5ML,"MnB rLP2086 subfamily A, 120?g/ml, MnB rLP2086 subfamily B, 120?g/ml",NDA-1: New biological entity,PFIZER PRIVATE LIMITED,21/02/2019,SIN15634P
BIKTARVY FILM-COATED TABLETS 50/200/25MG,Bictegravir sodium/ emtricitabine/ tenofovir alafenamide fumarate,NDA-1: New chemical entity,GILEAD SCIENCES SINGAPORE PTE LTD,02/01/2019,SIN15604P
"CABOMETYX FILM COATED TABLET 20 MG, 40 MG AND 60 MG",Cabozantinib,NDA-1: New chemical entityNDA-3: New strength,IPSEN PHARMA PTE LTD,03/01/2019,"SIN15606P, SIN15607P, SIN15608P"
PENTASA PROLONGED RELEASE GRANULES 4G/SACHET,Mesalazine,NDA-3: New strength,FERRING PHARMACEUTICALS PTE LTD,18/01/2019,SIN15614P
MINIRIN ORAL LYOPHILISATE 240 MCG,Desmopressin acetate eqv. to Desmopressin,NDA-3: New strength,FERRING PHARMACEUTICALS PRIVATE LIMITED,22/01/2019,SIN15615P
"INFLUVAC TETRA, SUSPENSION FOR INJECTIONIN PREFILLED SYRINGE 0.5ML",Influenza Virus (NH) A/California/07/2009 X-181 (H1N1); Influenza Virus (NH) A/Texas/50/2012 (H3N2); Influenza Virus (NH) B/Brisbane/60/2008; Influenza Virus (NH) B/Massachusetts/2/2012,NDA-2: New combination,ABBOTT LABORATORIES (SINGAPORE) PTE. LTD.,04/12/2018,SIN15591P
VOLTAREN 12 HOURS EMULGEL 2%,Diclofenac Diethylamine,NDA-2: New strength,GSK Consumer Healthcare Singapore Pte Ltd,14/12/2018,SIN15598P
"ESBRIET FILM COATED TABLET 267MG, 801MG",Pirfenidone,"NDA-2, 3: New dosage form, new strength",ROCHE SINGAPORE PTE. LTD.,18/12/2018,"SIN15600P, SIN15601P"
MAVIRET FILM-COATED TABLET 100MG/40MG,Glecaprevir + Pibrentasvir,NDA-1: New chemical,ABBVIE PTE. LTD.,26/12/2018,SIN15603P
ICLUSIG TABLET 15 MG AND 45 MG,Ponatinib HCl,NDA-1: New chemical entity,STEWARD CROSS PTE LTD,19/11/2018,"SIN15581P, SIN15582P"
MIFEGYNE TABLETS 200MG,Mifepristone,NDA-1: New chemical entity,UNITED ITALIAN TRADING CORPORATION (PRIVATE) LIMITED,23/11/2018,SIN15583P
KOVALTRY POWDER AND SOLVENT FOR SOLUTION FOR INJECTION 250IU/VIAL AND 500IU/VIAL,"Antihemophilic factor (Recombinant)250 IU, Antihemophilic factor (Recombinant)500 IU,","NDA-2,3 : New manufacturing process, new strength",BAYER (SOUTH EAST ASIA) PTE LTD,30 Nov 2018,"SIN15587P, SIN15586P"
PRIVIGEN SOLUTION FOR INFUSION 100g/L,Human Immunoglobulin,NDA-2 New formulation,CSL BEHRING PTE LTD,7 Nov 2018,SIN15574P
DIFFLAM PLUS ANAESTHETIC SORE THROAT LOZENGES (SUGAR FREE) MENTHOL AND EUCALYPTUS FLAVOURDIFFLAM PLUS ANAESTHETIC SORE THROAT LOZENGES (SUGAR FREE) HONEY LEMON FLAVOUR,"Benzydamine Hydrochloride + Lignocaine Hydrochloride + 2,4 Dichlorobenzyl Alcohol",NDA-2: New formulation,Inova Pharmaceuticals (Singapore) Pte. Limited,29 Nov 2018,"SIN15584P, SIN15585P"
HEPA-MERZ 5G/10ML Infusion CONCENTRATE,L-ornithine-L-aspartate,NDA-1: New chemical entity,MERZ ASIA PACIFIC PTE. LTD.,09 Nov 2018,SIN15578P
"HEMLIBRA (EMCIZUMAB) SOLUTION FOR INJECTION 150MG/ML, 30MG/ML",Emicizumab,"NDA-1/3: New chemical entity, New strength",ROCHE SINGAPORE PTE LTD,09 Nov 2018,"SIN15576P, SIN15577P"
VIACORAM START TABLET 3.5MG/ 2.5MGVIACORAM TABLET 7MG/ 5MG & 14MG/ 10MG,Amlodipine and Perindopril Arginine,"NDA-2: New dosage form, indication, dosing regimenNDA-3: New strength",SERVIER (S) PTE LTD,01/10/2018,"SIN15555P, SIN15556P, SIN15557P"
TARGIN PROLONGED RELEASE TABLETS 60MG/30MG AND 80MG/40MG,Oxycodone hydrochloride / Naloxone hydrochloride dihydrate,NDA-3: New strength,MUNDIPHARMA PHARMACEUTICALS PTE. LTD.,02/10/2018,"SIN15560P, SIN15561P"
SENSHIO FILM-COATED TABLET 60MG,Ospemifene,NDA-1: New chemical entity,SHIONOGI SINGAPORE PTE. LTD.,26/10/2018,SIN15568P
IMFINZI CONCENTRATE FOR SOLUTION FOR INFUSION 50MG/ML,Durvalumab,NDA-1: New biological entity,ASTRAZENECA SINGAPORE PTE LTD,29/10/2018,SIN15569P
"REKOVELLE SOLUTION FOR INJECTION 12MCG/0.36ML, 36MCG/1.08ML AND 72MCG/2.16ML",Follitropin Delta,NDA-1: New chemical entityNDA-3: New strength,FERRING PHRAMACEUTICALS PRIVATE LIMITED,11/09/2018,"SIN15537P,SIN15538P,SIN15539P"
"SOLIQUA SOLUTION FOR INJECTION IN A PRE-FILLED PEN 100UNIT/ML + 50 MCG/ML, 100 UNITS/ML + 33 MCG/ML","Lixisenatide, Insulin Glargine",NDA-2: New combinationNDA-3: New strength,SANOFI-AVENTIS SINGAPORE PTE LTD,20/09/2018,"SIN15540P, SIN15542P"
AIMOVIG SOLUTION FOR INJECTION IN PRE-FILLED PEN/PRE-FILLED SYRINGE 70MG/ML,Erenumab,NDA-1 and NDA-2: New biological entity,NOVARTIS (SINGAPORE)PTE LTD,21/09/2018,SIN15543P and SIN15545P
TIVICAY FILM-COATED TABLET 10MG AND 25MG,Dolutegravir Sodium,NDA-2/3: New dosage form and new patient population,GLAXOSMITHKLINE PTE LTD,24/08/2018,SIN15532P/ SIN15533P
PARIET TABLET 5MG,Rabeprazole,NDA-2: New strength / indication / dosing regimen,EISAI (SINGAPORE) PTE LTD,23 Aug 2018,SIN15531P
REGIOCIT SOLUTION FOR HAEMOFILTRATION,"Sodium chloride, sodium citrate",NDA-2: New combination,BAXTER HEALTHCARE (ASIA) PTE LTD,19 Jul 2018,SIN15513P
BIPHOZYL SOLUTION FOR HAEMODIALYSIS / HAEMOFILTRATION,Disodium Phosphate DihydratePotassium ChlorideSodium ChlorideSodium Hydrogen CarbonateMagnesium Chloride Hexahydrate,NDA-2: New combination,BAXTER HEALTHCARE (ASIA) PTE LTD,20 Jul 2018,SIN15514P
LEVEMIR PENFILL 100IU/ML,Insulin detemir,NDA-2: New dosage form,NOVO NORDISK PHARMA,20 Jul 2018,SIN15515P
RYDAPT SOFT CAPSULE 25MG,Midostaurin,NDA-1: New chemical entity,NOVARTIS (SINGAPORE) PTE LTD,30 Jul 2018,SIN15518P
HIZENTRA SOLUTION FOR SUBCUTANEOUS INJECTION 200G/L,Human Immunoglobulin,NDA-2: New Indication,CSL BEHRING PTD LTD,5 Jun 2018,SIN15499P
TALTZ SOLUTION FOR INJECTION IN PRE-FILLED PEN80 MG/ML,Ixekizumab,NDA-1: New biological entity,ELI LILLY (SINGAPORE) PTE LTD,6 Jun 2018,SIN15501P
BiCNU (CARMUSTINE FOR INJECTION USP 100MG) & DEHYDRATED ALCOHOL INJECTION USP AS A COMBIPACK,Carmustine,"NDA-2: New dosage form, strength, indication, dosing regimen",ADVAGEN PTE LTD,7 Jun 2018,SIN15502P
OLUMIANT FILM-COATED TABLET 2 AND 4MG,Baricitinib,"NDA-1: New chemical entity, NDA-3: New strength",ELI LILLY (SINGAPORE) PTE LTD,18 Jun 2018,SIN15504P and SIN15505P
TREMFYA SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 100MG/ML,Guselkumab,NDA-1: New biological entity,JOHNSON & JOHNSON PTE LTD,21 Jun 2018,SIN15508P
BELKYRA INJECTION 10MG/ML,Deoxycholic acid,NDA-1: New chemical entity,ALLERGAN SINGAPORE PTE LTD,21 Jun 2018,SIN15509P
VAXIGRIPTETRA SUSPENSION FOR INJECTION IN PREFILLED SYRINGE,Influenza Virus (NH) A/California/07/2009 X-179A (H1N1); Influenza Virus (NH) A/Texas/50/2012 (H3N2);Influenza Virus (NH) B/Brisbane/60/2008;Influenza Virus (NH) B/Massachusetts/2/2012,NDA-2: New combination,SANOFI-AVENTIS SINGAPORE PTE. LTD.,4 May 2018,SIN15477P
ADACEL-POLIO SUSPENSION FOR INJECTION IN PREFILLED SYRINGE,(Acellular pertussis) filamentous haemagglutinin adsorbed (FHA)(Acelluar pertussis) fimbriae type 2 and 3 adsorbed (FIM)(Acellular pertussis) pertatctin adsorbed (PRN)(Acellular pertussis) pertussis toxoid adsorbed (PT)Diphtheria toxoid adsorbedInactivated poliomyelitis vaccine (IPV) type 1 mahoneyInactivated poliomyelitis vaccine (IPV) type 2 (MEF-1)Inactivated poliomyelitis vaccine (IPV) type 3 (Saukett)Tetanus toxoid adsorbed,NDA-2: New combination,SANOFI-AVENTIS SINGAPORE PTE LTD,4 May 2018,SIN15479P
NOVOMIX 30 PENFILL 100U/ML,Insulin Aspart,NDA-2: New dosage form,NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,9 May 2018,SIN15480P
LONSUF FILM-COATED TABLET 15 MG/6.14 MG AND 20 MG/8.19 MG,Tipiracil hydrochloride / trifluridine,NDA-1: New chemical entityNDA-3: New strength,TAIHO PHARMA SINGAPORE PTE. LTD.,24 May 2018,SIN15491P and SIN15494P
EPIDUO FORTE GEL 0.3%/ 2.5%,Adapalene/ Benzoyl peroxide,NDA-2: New strength,GALDERMA SINGAPORE PRIVATE LIMITED,3 Apr 2018,SIN15460P
NOCDURNA ORAL LYOPHILISATE 25 MCG AND 50 MCG,Desmopressin,NDA-2: New indication and NDA-3: New strength,FERRING PHARMACEUTICALS PRIVATE LIMITED,3 Apr 2018,SIN15461P and SIN15462P
SODIUM IODIDE NA131I POLATOM CAPSULE,Sodium iodide Na131I,NDA-2: New indication/ dosing regimen,QUANTUM TECHNOLOGIES GLOBAL PTE. LTD.,23 Apr 2018,SIN15467P
NUTRIFLEX®OMEGA PLUS EMULSION FOR INFUSION,"Alanine, Arginine, Aspartic acid, Calcium chloride dihydrate, Glucose monohydrate, Glutamic acid, Glycine, Histidine hydrochloride monohydrate, Isoleucine, Leucine, Lysine hydrochloride, Magnesium acetate tetrahydrate, Methionine, Omega-3-acid triglycerides, Phenylalanine, Potassium acetate, Proline, Serine, Sodium acetate trihydrate, Sodium chloride, Sodium dihydrogen phosphate dihydrate, Sodium hydroxide, Refined soya-bean oil, Threonine, Medium chain triglycerides, Tryptophan, Valine and Zinc acetate dihydrate",NDA-2: New combination,B. BRAUN SINGAPORE PTE. LTD.,23 Apr 2018,SIN15468P
NUTRIFLEX®OMEGA SPECIAL EMULSION FOR INFUSION,"Alanine, Arginine, Aspartic acid, Calcium chloride dihydrate, Glucose monohydrate, Glutamic acid, Glycine, Histidine hydrochloride monohydrate, Isoleucine, Leucine, Lysine hydrochloride, Magnesium acetate tetrahydrate, Methionine, Omega-3-acid triglycerides, Phenylalanine, Potassium acetate, Proline, Serine, Sodium acetate trihydrate, Sodium chloride, Sodium dihydrogen phosphate dihydrate, Sodium hydroxide, Refined soya-bean oil, Threonine, Medium chain triglycerides, Tryptophan, Valine and Zinc acetate dihydrate",NDA-2: New combination,B. BRAUN SINGAPORE PTE. LTD.,23 Apr 2018,SIN15469P
VIZAMYL SOLUTION FOR INJECTION 150 MBQ/ ML,Flutemetamol[18F],NDA-1: New chemical entity,GE HEALTHCARE PTE. LTD.,6 Mar 2018,SIN15441P
VOCINTI FILM-COATED TABLET 10 MG AND 20 MG,Vonoprazan,NDA-1: New chemical entity and NDA-3: New strength,TAKEDA PHARMACEUTICALS (ASIA PACIFIC) PTE. LTD.,8 Mar 2018,SIN15444P and SIN15445P
"PARSABIV SOLUTION FOR INJECTION 2.5 MG/ 0.5 ML, 5 MG/ ML AND 10 MG/ 2 ML",Etelcalcetide,NDA-1: New chemical entity and NDA-3: New strength,AMGEN SINGAPORE MANUFACTURING PTE. LTD.,14 Mar 2018,"SIN15450P, SIN15451P and SIN15452P"
CANESPRO ONCE DAILY CREAM 1%,Bifonazole,NDA-1: New chemical entity,BAYER (SOUTH EAST ASIA) PTE. LTD.,1 Feb 2018,SIN15415P
TECENTRIQ CONCENTRATE FOR SOLUTION FOR INFUSION 1200 MG/ 20 ML,Atezolizumab,NDA-1: New biological entity,ROCHE SINGAPORE PTE. LTD.,9 Feb 2018,SIN15425P
"TRIVERAM FILM-COATED TABLET 10 MG/ 5 MG/ 5 MG, 20 MG/ 5 MG/ 5 MG, 20 MG/ 10 MG/ 5 MG, 20 MG/ 10 MG/ 10 MG AND 40 MG/ 10 MG/ 10 MG",Atorvastatin/ Perindopril/ Amlodipine,NDA-2: New combination and NDA-3: New strength,SERVIER (S) PTE. LTD.,12 Feb 2018,"SIN15426P, SIN15427P, SIN15428P, SIN15429P and SIN15430P"
VARITHENA POLIDOCANOL INJECTION FOAM 10 MG/ ML,Polidocanol,NDA-2: New dosage form,TRANSMEDIC PTE. LTD.,15 Feb 2018,SIN15433P
COSOPT-S OPHTHALMIC SOLUTION,Dorzolamide and Timolol,NDA-2: New formulation,SANTEN PHARMACEUTICAL ASIA PTE. LTD.,26 Feb 2018,SIN15435P
STELARA CONCENTRATE FOR SOLUTION FOR INFUSION 130 MG/ 26 ML,Ustekinumab,NDA-2: New indication,JOHNSON & JOHNSON PTE. LTD.,28 Feb 2018,SIN15438P
ZEPATIER FILM-COATED TABLET 50 MG/ 100 MG,Elbasvir/ Grazoprevir,NDA-1: New chemical entity,MSD PHARMA (SINGAPORE) PTE. LTD.,11 Jan 2018,SIN15404P
VELETRI POWDER FOR SOLUTION FOR INFUSION 0.5 MG/ VIAL AND 1.5 MG/ VIAL,Epoprostenol,NDA-2: New indication and NDA-3: New strength,DKSH SINGAPORE PTE. LTD.,11 Jan 2018,SIN15405P and SIN15406P
KISQALI FILM-COATED TABLET 200 MG,Ribociclib,NDA-1: New chemical entity,NOVARTIS (SINGAPORE) PTE. LTD.,22 Jan 2018,SIN15407P
KYPROLIS POWDER FOR SOLUTION FOR INFUSION 30 MG/ VIAL,Carfilzomib,NDA-3: New strength,AMGEN SINGAPORE MANUFACTURING PTE. LTD.,29 Jan 2018,SIN15414P
VEMLIDY FILM COATED TABLET 25 MG,Tenofovir Alafenamide Fumarate,NDA-2: New indication,GILEAD SCIENCES SINGAPORE PTE. LTD.,11 Dec 2017,SIN15392P
SKUDEXA FILM-COATED TABLET 75 MG/ 25 MG,Tramadol Hydrochloride/ Dexketoprofen,NDA-2: New combination,A. MENARINI SINGAPORE PTE. LTD.,13 Dec 2017,SIN15394P
NUCALA POWDER FOR SOLUTION FOR INJECTION 100 MG,Mepolizumab,NDA-1: New biological entity,GLAXOSMITHKLINE PTE. LTD.,14 Dec 2017,SIN15396P
ONIVYDE (IRINOTECAN LIPOSOME) INJECTION 43 MG/ 10 ML,Irinotecan,NDA-2: New formulation,SHIRE SINGAPORE PTE. LTD.,28 Dec 2017,SIN15397P
COSYREL FILM-COATED TABLET 5 MG/ 5 MGCOSYREL FILM-COATED TABLET 5 MG/ 10 MGCOSYREL FILM-COATED TABLET 10 MG/ 5 MGCOSYREL FILM-COATED TABLET 10 MG/ 10 MG,Bisoprolol/ Perindopril,NDA-2: New combination and NDA-3: New strength,SERVIER (S) PTE. LTD.,28 Dec 2017,"SIN15398P, SIN15399P, SIN15400P and SIN1401P"
NUVANIV SOFT CAPSULE 0.5 MG,Dutasteride,NDA-2: New indication,GLAXOSMITHKLINE PTE. LTD.,16 Nov 2017,SIN15364P
STREPSILS MAX PRO DIRECT SPRAY 8.75 MG PER DOSE,Flurbiprofen,NDA-2: New dosage form,RECKITT BENCKISER (SINGAPORE) PTE. LTD.,29 Nov 2017,SIN15370P
GELASPAN SOLUTION FOR INFUSION,"Calcium Chloride Dihydrate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Acetate Trihydrate, Sodium Chloride, Succinylated Gelatine",NDA-2: New formulation,B. BRAUN SINGAPORE PTE. LTD.,4 Oct 2017,SIN15336P
SAXENDA SOLUTION FOR INJECTION IN PRE-FILLED PEN6 MG/ ML,Liraglutide,NDA-2: New indication/ dosing regimen,NOVO NORDISK PHARMA (SINGAPORE) PTE. LTD.,9 Oct 2017,SIN15338P
FLUIMUCIL A 600 EFFERVESCENT TABLET 600 MG (OTC PACK)FLUIMUCIL GRANULES 100 MG/ SACHET (OTC PACK),Acetylcysteine,NDA-2: New indication,UNITED ITALIAN TRADING CORPORATION (PRIVATE) LIMITED,13 Oct 2017,SIN15339P and SIN15340P
BETADINE VAGINAL GEL 10% W/ W,Povidone Iodine,NDA-2: New dosage form,MUNDIPHARMA PHARMACEUTICALS PTE. LTD.,13 Oct 2017,SIN15344P
"IMPLICOR FILM-COATED TABLET 25 MG/ 5 MG,25 MG/ 7.5 MG, 50 MG/ 5 MG AND 50 MG/ 7.5 MG",Metoprolol Tartrate/ Ivabradine,NDA-2: New combination and NDA-3: New strength,SERVIER (S) PTE. LTD.,19 Oct 2017,"SIN15347P, SIN15348P, SIN15349P and SIN15350P"
EPCLUSA TABLET 400 MG/ 100 MG,Sofosbuvir/ Velpatasvir,NDA-1: New chemical entity,GILEAD SCIENCES SINGAPORE PTE. LTD.,19 Oct 2017,SIN15351P
NAUSICALM TABLET 50 MG (PHARMACY ONLY),Cyclizine Hydrochloride,NDA-2: New indication,AFT PHARMACEUTICALS SINGAPORE PTE. LTD.,23 Oct 2017,SIN15353P
DATSCAN SOLUTION FOR INJECTION 74 MBQ/ ML,Ioflupane [123I],NDA-1: New chemical entity,GE HEALTHCARE PTE. LTD.,4 Sep 2017,SIN15325P
AMITIZA CAPSULE 8 MCG AND 24 MCG,Lubiprostone,NDA-1: New chemical entity and NDA-3: New strength,TAKEDA PHARMACEUTICALS (ASIA PACIFIC) PTE. LTD.,13 Sep 2017,SIN15329P and SIN15330P
FOSTER NEXTHALER INHALATION POWDER 100 MCG/ 6 MCG PER DOSE,Beclometasone dipropionate anhydrous/ Formoterol fumarate dihydrate,NDA-2: New dosage form,ORIENT EUROPHARMA PTE. LTD.,19 Sep 2017,SIN15332P
CORTIMENT MMX PROLONGED RELEASE TABLETS 9 MG,Budesonide,NDA-2: New dosage form,FERRING PHARMACEUTICALS PRIVATE LIMITED,4 Aug 2017,SIN15311P
BETADINE SORE THROAT SPRAY 0.45% W/V,Povidone-Iodine,NDA-2: New dosage form,MUNDIPHARMA PHARMACEUTICALS PTE. LTD.,7 Aug 2017,SIN15313P
ZERBAXA POWDER FOR SOLUTION FOR INJECTION 1 G/ 0.5 G,Ceftolozane and Tazobactam,NDA-1: New chemical entity,MSD PHARMA (SINGAPORE) PTE. LTD.,14 Aug 2017,SIN15317P
DESCOVY FILM COATED TABLET 200 MG/10 MG AND 200 MG/ 25 MG,Emtricitabine/ Tenofovir Alafenamide,NDA-2: New combination and NDA-3: New strength,GILEAD SCIENCES SINGAPORE PTE. LTD.,21 Aug 2017,SIN15321P and SIN15322P
