No.,No. Rujukan,No. Pendaftaran MAL,Nama Produk, Pemegang,Pengilang,Tempoh Pendaftaran,nan,Catatan
116,2016032500022 HA,MAL18066049HA,Cimalgex 30mg chewable tablets for dogs,Gladron Chemicals Sdn Bhd,Vetoquinol SA(FRANCE),25/6/2018,25/6/2023,New Registration Approval
117,2016032500024 HA,MAL18066048HA,Cimalgex 80mg chewable tablets for dogs,Gladron Chemicals Sdn Bhd,Vetoquinol SA(FRANCE),25/6/2018,25/6/2023,New Registration Approval
118,2016032500023 HA,MAL18066051HA,Cimalgex 8mg chewable tablets for dogs,Gladron Chemicals Sdn Bhd,Vetoquinol SA(FRANCE),25/6/2018,25/6/2023,New Registration Approval
119,201705260354X,MAL18066047XZ,REGIOCIT SOLUTION FOR HAEMOFILTRATION,BAXTER HEALTHCARE (MALAYSIA) SDN. BHD.,Gambro Dasco S.p.A.(ITALY),25/6/2018,25/6/2023,New Registration Approval
120,201707260588T,MAL18066018TC,TNGC Bevvell Pill 6g,TNGC International Sdn Bhd,NATURE`S GRACE (M) SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
121,201707260589T,MAL18066003T,ShiYiTang Xin Qiju Dihuang Wan,HARYAO HEALTH PRODUCTS SDN BHD,SHIYITANG PHARMACEUTICAL FACTORY OF HARBIN PHARMACEUTICAL GROUP(CHINA),4/6/2018,4/6/2023,New Registration Approval
122,201710120890X,MAL18066046XZ,WINSPIRIN Acetylsalicylic Acid Dispersible Tablet 300mg,KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.,KCK PHARMACEUTICAL INDUSTRIES SDN. BHD.(MALAYSIA),25/6/2018,25/6/2023,New Registration Approval
123,201707200570T,MAL18066001T,KO DA YIN CHEN WU LING SAN EXTRACT GRANULES,U Life Marketing Sdn Bhd,"KO DA PHARMACEUTICAL CO., LTD.(TAIWAN)",4/6/2018,4/6/2023,New Registration Approval
124,201709060756T,MAL18066014T,“CHUANG SONG ZONG” Jenq Guu Tzyy Jin Dan Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTICAL CO., LTD(TAIWAN)",4/6/2018,4/6/2023,New Registration Approval
125,201710160900N,MAL18066034NC,Pharmaton Vitality Caplet,SANOFI-AVENTIS (MALAYSIA) SDN. BHD.,Ginsana SA(SWITZERLAND),4/6/2018,4/6/2023,New Registration Approval
126,201709060761T,MAL18066019T,“CHUANG SONG ZONG” Chai Hu Shu Gan Tang Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTICAL CO., LTD., (Ligang Factory)(TAIWAN)",4/6/2018,4/6/2023,New Registration Approval
127,201708210695T,MAL18066011T,BAN KAH CHAI BEAUTY S SOLUBLE POWDER,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
128,201710160901T,MAL18066020T,Yi Shi Yuan Xin Liang Ge San,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),4/6/2018,4/6/2023,New Registration Approval
129,201711020999T,MAL18066015T,“CHUANG SONG ZONG” Da Chai Hu Tang Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTICAL CO., LTD., (Ligang Factory)(TAIWAN)",4/6/2018,4/6/2023,New Registration Approval
130,201711021013T,MAL18066004T,“CHUANG SONG ZONG” Guey Jy Tang Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTICAL CO., LTD(TAIWAN)",4/6/2018,4/6/2023,New Registration Approval
131,201801170001N,MAL18066029NC,guardian Vitamin D3 1000IU Tablets,GUARDIAN HEALTH AND BEAUTY SDN. BHD.,GMP PHARMACEUTICALS LTD(NEW ZEALAND),4/6/2018,4/6/2023,New Registration Approval
132,201710290974T,MAL18066021TC,Shine Elgucare Capsule,Y.S.P. INDUSTRIES (M) SDN BHD,ALPHA ACTIVE INDUSTRIES SDN BHD(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
133,201710260955N,MAL18066039NCR,ExceLife Magnesium + B6 Tablet,E HEALTH PHARMACY SDN BHD,Alfa Vitamins Laboratories Inc.(UNITED STATES),4/6/2018,4/6/2023,New Registration Approval
134,201711141049T,MAL18066022T,Waist Tonic: Jin Qi Ling Brand Liquid,BESFOMEC INDUSTRIES SDN. BHD.,BESFOMEC INDUSTRIES SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
135,201711271128T,MAL18066024TC,Raw Lab Cardutec Capsule,Rhino Pharmaceutical,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
136,201801151353N,MAL18066028NC,Guardian Co-Enzyme Q10 150mg capsules,GUARDIAN HEALTH AND BEAUTY SDN. BHD.,GMP PHARMACEUTICALS LTD(NEW ZEALAND),4/6/2018,4/6/2023,New Registration Approval
137,201801151355N,MAL18066031NC,Guardian Evening Primrose Oil 1000mg Softgels,GUARDIAN HEALTH AND BEAUTY SDN. BHD.,GMP PHARMACEUTICALS LTD(NEW ZEALAND),4/6/2018,4/6/2023,New Registration Approval
138,201711241109T,MAL18066026TC,Triwonder Wheatgrass 2g Powder,TRIWONDER INTERNATIONAL SDN BHD,THE ORIGIN FOODS SDN BHD(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
139,201801081274N,MAL18066032NC,USANA BIOMEGA JR. EMULSION,UHS ESSENTIAL HEALTH (MALAYSIA) SDN. BHD.,"The Coromega Company, Inc(UNITED STATES)",4/6/2018,4/6/2023,New Registration Approval
140,201802060062T,MAL18066008T,Nabisar PHYTO FEVER Tablet,CAMBRIDGE BIOTEK SDN BHD,CAMBRIDGE BIOTEK SDN BHD(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
141,201712071164T,MAL18066016T,Bodhi Bio Tech Shun Qi Bao Capsule,BODHI BIO TECH SDN BHD,BODHI BIO TECH SDN BHD(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
142,201711281135T,MAL18066025TC,Hurix's My-Kids Appetizer Syrup (Apple Flavor),JIN BIN CORPORATION SDN. BHD.,J.B. PHARMACY GROUP SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
143,201712071166T,MAL18066017T,Bodhi Bio Tech Kang Fu Li Capsule,BODHI BIO TECH SDN BHD,BODHI BIO TECH SDN BHD(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
144,201711271114T,MAL18066023T,ScentriArth Gano Cordy Vegetable Capsule,GANO E WORLDWIDE SDN. BHD.,GANO EXCEL INDUSTRIES SDN BHD(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
145,201801081275N,MAL18066033N,Nabisar GlutaCol Plus powder,CAMBRIDGE BIOTEK SDN BHD,CAMBRIDGE BIOTEK SDN BHD(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
146,201802210110T,MAL18066006T,TI Shyuan Fuh Day Jee Shyr Tong Extract Granules,TIAN I BIOTECH INTERNATIONAL SDN BHD,"Tian-I Pharmaceutical Co., Ltd.(TAIWAN)",4/6/2018,4/6/2023,New Registration Approval
147,201801171364T,MAL18066005T,LIM WAH THAI NUTMEG PLUS OIL,WAH THAI NATIVE PRODUCTS SDN. BHD.,WAH THAI NATIVE PRODUCTS SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
148,201803020152T,MAL18066007TC,Eldon Nutrition Greenella Capsule,ELDON HEALTHCARE SDN. BHD.,QD HERBS SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
149,201712211263T,MAL18066013T,Cordylon capsule,Dong Foong Manufacturing Sdn Bhd,Dong Foong Manufacturing Sdn Bhd(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
150,201801170002N,MAL18066030NC,Guardian Double- Strength Omega-3 DHA & EPA Fish Oil 1000mg Softgels,GUARDIAN HEALTH AND BEAUTY SDN. BHD.,GMP PHARMACEUTICALS LTD(NEW ZEALAND),4/6/2018,4/6/2023,New Registration Approval
151,201801180007N,MAL18066037N,apotec i-Shine Capsule,Bioalpha International Sdn. Bhd.,Bioalpha International Sdn. Bhd.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
152,201801180008N,MAL18066038N,apotec i-glo Powder,Bioalpha International Sdn. Bhd.,Bioalpha International Sdn. Bhd.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
153,201801091312T,MAL18066002TC,Raw Lab Fematec Capsule,Rhino Pharmaceutical,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
154,201802100074T,MAL18066010T,NABISAR ITCH Cream,CAMBRIDGE BIOTEK SDN BHD,CAMBRIDGE BIOTEK SDN BHD(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
155,201803010154T E,MAL18066027TCE,PainFix Pain Relieving Gel,RELIVIUM SCIENCES SDN. BHD.,FURLEY BIOEXTRACTS SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
156,201803120183T,MAL18066012T,"Chi Bao Meei Ran Dan Extract Granules ""TI""",TIAN I BIOTECH INTERNATIONAL SDN BHD,"Tian-I Pharmaceutical Co., Ltd.(TAIWAN)",4/6/2018,4/6/2023,New Registration Approval
157,201803170203N,MAL18066036N,NHF Probiotics + Vit B&C + Calcium Powder,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
158,201803220235N,MAL18066035N,NHF BIOZYME Powder,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),4/6/2018,4/6/2023,New Registration Approval
177,201605302053A,MAL18066056ACRS Z,Zometa 4mg/100ml Solution for Infusion,NOVARTIS CORPORATION (MALAYSIA) SDN. BHD.,FRESENIUS KABI AUSTRIA GMBH (AUSTRIA),25/6/2018,25/6/2023,New Registration Approval
178,201601222016A,MAL18066054AZ,BRIEKA capsules 50mg,ACTAVIS SDN. BHD.,Actavis ehf. (ICELAND),25/6/2018,25/6/2023,New Registration Approval
179,201506120001A,MAL18066053AZ,DIFACLEAR GEL 0.1% W/W,RANBAXY (MALAYSIA) SDN. BHD.,SUN PHARMACEUTICAL INDUSTRIES LIMITED (INDIA),25/6/2018,25/6/2023,New Registration Approval
180,201507282012A,MAL18066057AZ,ANDROZ TABLET 50 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,TORRENT PHARMACEUTICAL LIMITED (INDIA),25/6/2018,25/6/2023,New Registration Approval
181,201507282013A,MAL18066058AZ,ANDROZ TABLET 100 MG,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.,TORRENT PHARMACEUTICAL LIMITED (INDIA),25/6/2018,25/6/2023,New Registration Approval
374,201505072015A,MAL18056072AZ,Loratyn Dry Syrup 1% w/w,HOVID BERHAD,HOVID BERHAD(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
375,201510050001A,MAL18056153AZ,Valtensin HCT Tablet 160/12.5mg,ACTAVIS SDN. BHD.,Actavis Ltd.(MALTA),31/5/2018,31/5/2023,New Registration Approval
376,201601102015A,MAL18056094AZ,DIENILLE 2mg / 0.03mg film coated tablets,Exeltis Pharma Sdn Bhd,Laboratorios Leon Farma S.A.(SPAIN),31/5/2018,31/5/2023,New Registration Approval
377,201508210001A,MAL18056071AZ,LEVAUR 250 (Levetiracetam Tablets 250 mg),HEALOL PHARMACEUTICALS SDN. BHD.,"Aurobindo Pharma Limited (Unit III),(INDIA)",31/5/2018,31/5/2023,New Registration Approval
378,201508212012A,MAL18056070AZ,LEVAUR 500 (Levetiracetam Tablets 500 mg),HEALOL PHARMACEUTICALS SDN. BHD.,"Aurobindo Pharma Limited (Unit III),(INDIA)",31/5/2018,31/5/2023,New Registration Approval
379,201603212019A,MAL18056069AZ,BETAQUIL 8 (Betahistine Dihydrochloride Tablets BP 8 mg),HEALOL PHARMACEUTICALS SDN. BHD.,Aurobindo Pharma Limited(INDIA),31/5/2018,31/5/2023,New Registration Approval
380,201603212020A,MAL18056068AZ,BETAQUIL 16 (Betahistine Dihydrochloride Tablets BP 16 mg),HEALOL PHARMACEUTICALS SDN. BHD.,Aurobindo Pharma Limited(INDIA),31/5/2018,31/5/2023,New Registration Approval
381,201605312026A,MAL18056067AZ,"POLY-MxB for Injection U.S.P. 500,000 Units (Lyophilized)",PAHANG PHARMACY SDN. BHD.,BHARAT SERUMS AND VACCINES LTD.(INDIA),31/5/2018,31/5/2023,New Registration Approval
382,201605090001A,MAL18056152AZ,Promesec Capsule 20mg,CCM PHARMACEUTICALS SDN. BHD.,Hetero Labs Limited(INDIA),31/5/2018,31/5/2023,New Registration Approval
383,201605242039A,MAL18056066ACRZ,Buffered Binosto 70 mg Effervescent Tablets,ZUELLIG PHARMA SDN BHD,SWISSCO SERVICES AG(SWITZERLAND),31/5/2018,31/5/2023,New Registration Approval
384,201605092018A,MAL18056154AZ,PEGASET 50 (Pregabalin Capsules 50 mg),HEALOL PHARMACEUTICALS SDN. BHD.,"Aurobindo Pharma Limited, Unit-VII (SEZ)(INDIA)",31/5/2018,31/5/2023,New Registration Approval
385,201605092019A,MAL18056155AZ,PEGASET 75 (Pregabalin Capsules 75 mg),HEALOL PHARMACEUTICALS SDN. BHD.,"Aurobindo Pharma Limited, Unit-VII (SEZ)(INDIA)",31/5/2018,31/5/2023,New Registration Approval
386,201605092020A,MAL18056156AZ,PEGASET 150 (Pregabalin Capsules 150 mg),HEALOL PHARMACEUTICALS SDN. BHD.,"Aurobindo Pharma Limited, Unit-VII (SEZ)(INDIA)",31/5/2018,31/5/2023,New Registration Approval
387,201604080001A,MAL18056151AZ,IRB-H 150/12.5 (Irbesartan and Hydrochlorothiazide Tablets 150/12.5 mg),HEALOL PHARMACEUTICALS SDN. BHD.,"Aurobindo Pharma Limited (Unit III),(INDIA)",31/5/2018,31/5/2023,New Registration Approval
388,201605302047A,MAL18056161AZ,Redtibin (Decitabine) Powder for Injection 50mg/vial,DKSH MALAYSIA SDN BHD,Dr Reddy`s Laboratories Ltd(INDIA),31/5/2018,31/5/2023,New Registration Approval
389,20161107164A,MAL18056157ACRE,hovid Cloxacillin Capsule 500mg,HOVID BERHAD,"Reyoung Pharmaceutical Co., Ltd.(CHINA)",31/5/2018,31/5/2023,New Registration Approval
390,20161107165A,MAL18056158ACRE,hovid-Entecavir Tablet 0.5mg,HOVID BERHAD,RA Chem Pharma Ltd(INDIA),31/5/2018,31/5/2023,New Registration Approval
391,20161107166A,MAL18056159ACRE,hovid-Entecavir Tablet 1mg,HOVID BERHAD,RA Chem Pharma Ltd(INDIA),31/5/2018,31/5/2023,New Registration Approval
392,20170107318A,MAL18056065ACZ,Dymista Nasal Spray 137mcg/50mcg,MEDA HEALTHCARE SDN. BHD.,Cipla Limited(INDIA),31/5/2018,31/5/2023,New Registration Approval
393,201703280119X,MAL18056093X,MINYAK URUT MUN KEONG,WEN JIANG MEDICAL INDUSTRIES SDN. BHD.,WEN JIANG MEDICAL INDUSTRIES SDN. BHD.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
394,201706220475A,MAL18056111ACZ,Vemlidy (tenofovir alafenamide 25mg) film- coated tablets,Gilead Sciences Malaysia Sdn. Bhd.,PATHEON INC.(CANADA),31/5/2018,31/5/2023,New Registration Approval
395,201708010611H A,MAL18056084HAC,FLOR-LD 200MG/ML ORAL SOLUTION,Kty Chemicals Sdn. Bhd.,Nam Pharma Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
396,201707200569T,MAL18056123T,KO DA SI NI SAN EXTRACT GRANULES,U Life Marketing Sdn Bhd,"KO DA PHARMACEUTICAL CO., LTD.(TAIWAN)",23/5/2018,23/5/2023,New Registration Approval
397,201707040496T,MAL18056045TC,Hurix's 600 FluCough Syrup Improved,JIN BIN CORPORATION SDN. BHD.,J.B. PHARMACY GROUP SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
398,201707230575T,MAL18056100T,KO DA GAN MAI DA ZAO TANG EXTRACT GRANULES,U Life Marketing Sdn Bhd,"KO DA PHARMACEUTICAL CO., LTD.(TAIWAN)",23/5/2018,23/5/2023,New Registration Approval
399,201710170909X,MAL18056092X,THROATSIL WITH VITAMIN C LOZENGES (ORANGE FLAVOUR),HNB ALLIANCE SDN. BHD.,"Millimed Co., Ltd(THAILAND)",31/5/2018,31/5/2023,New Registration Approval
400,201710170910X,MAL18056091X,THROATSIL LOZENGES (WILD BERRIES FLAVOUR),HNB ALLIANCE SDN. BHD.,"Millimed Co., Ltd(THAILAND)",31/5/2018,31/5/2023,New Registration Approval
401,201710170911X,MAL18056090X,THROATSIL LOZENGES (PRUNE FLAVOUR),HNB ALLIANCE SDN. BHD.,"Millimed Co., Ltd(THAILAND)",31/5/2018,31/5/2023,New Registration Approval
402,201710170912X,MAL18056089X,THROATSIL LOZENGES (MENTHOL FLAVOUR),HNB ALLIANCE SDN. BHD.,"Millimed Co., Ltd(THAILAND)",31/5/2018,31/5/2023,New Registration Approval
403,201708080654T,MAL18056114TC,Tian Yang ShiHu Ginseng Plus Liquid,HOCKHUA TRADING SDN BHD,BESFOMEC INDUSTRIES SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
404,201709270843T,MAL18056053T,Tilman Antimetil film- coated tablet,SUCCESS THERAPEUTIC SDN BHD,Tilman S.A(BELGIUM),2/5/2018,2/5/2023,New Registration Approval
405,201709060752T,MAL18056051T,“CHUANG SONG ZONG” Gui Zhi Fu Ling Wan Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTICAL CO., LTD(TAIWAN)",2/5/2018,2/5/2023,New Registration Approval
406,201709060755T,MAL18056052T,“CHUANG SONG ZONG” Shao Yao Gan Cao Tang Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTICAL CO., LTD., (Ligang Factory)(TAIWAN)",2/5/2018,2/5/2023,New Registration Approval
407,201709290850N,MAL18056139NC,FLORDIS Nuvexa Tablets,DELFI MARKETING SDN.BHD.,Ginsana SA(SWITZERLAND),23/5/2018,23/5/2023,New Registration Approval
408,201710100879N,MAL18056020N,Live-well MAXI B+C Tablet,Live-Well Nutraceuticals Sdn. Bhd.,PAHANG PHARMACY SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
409,201708010610T,MAL18056126TC,AWWIZZ SKIN HERBS MIST LIQUID,AWWIZZ TRADING,RPM HERBS INDUSTRIES(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
410,201708090665T,MAL18056030TC,GD Herbal Tea,POLYLAB BIOTECH SDN. BHD.,FERNO INDUSTRIES SDN BHD(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
411,201708160677T,MAL18056026T,Yi Shi Yuan Jian Bi Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),2/5/2018,2/5/2023,New Registration Approval
412,201709060742H A,MAL18056083HA,YH Bacitracin Zinc 15% W/W Powder,Yenher Agro-products Sdn. Bhd.,Lifecome Biochemistry Co. Ltd.(CHINA),31/5/2018,31/5/2023,New Registration Approval
413,201710020853H A,MAL18056082HA,Nicarmix 25 granules,Phibro Corporation (m) Sdn Bhd,Phibro Saude e Nutricao Animal Ltda(BRAZIL),31/5/2018,31/5/2023,New Registration Approval
414,201709140802N,MAL18056004NCR,Vitamode SAM-e 400mg Enteric Coated Tablet,Vitamode Sdn.bhd,Vitaquest International LLC(UNITED STATES),2/5/2018,2/5/2023,New Registration Approval
415,201712081168T,MAL18056113T,Esberitox® COMPACT tablets,QUANSTAR BIOTECH SDN BHD,Schaper & Brummer GmBH & Co. KG(GERMANY),23/5/2018,23/5/2023,New Registration Approval
416,201709130797T,MAL18056046TC,TIMING WU PI YIN EXTRACT GRANULES,Timing Herbs Sdn Bhd,WAN YEEN TRADING SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
417,201710110885N,MAL18056144NC,PureMed OsteoEase Powder,Pure Medisciences (M) Sdn Bhd,FURLEY BIOEXTRACTS SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
418,201709090779T,MAL18056034TC,Thera-C capsule,MPCN THERAPEUTICS SDN BHD,Dong Foong Manufacturing Sdn Bhd(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
419,201709120795T,MAL18056037T,Ban Kah Chai BC Capsule,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
420,201709080775T,MAL18056122TC,Stemtech SR-3M Capsule,Stemtech Malaysia Sdn Bhd,WHITE HERON PHARMACEUTICAL SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
421,201710160902T,MAL18056047T,Yi Shi Yuan Cang Er Zi San,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),2/5/2018,2/5/2023,New Registration Approval
422,201710300979T,MAL18056135T,NHF Cordyceps 500mg Capsule,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
423,201709210833T,MAL18056132T,Jamu Nenek Kapsul Adam,SERI MH UMMI SDN BHD,SERI MH UMMI SDN BHD(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
424,201710190931T,MAL18056097T,Yi Shi Yuan Gan Mai Da Zao Tang Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),23/5/2018,23/5/2023,New Registration Approval
425,201711020997T,MAL18056095T,“CHUANG SONG ZONG” Xin May Men Dong Tang Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTICAL CO., LTD(TAIWAN)",23/5/2018,23/5/2023,New Registration Approval
426,201711021012T,MAL18056035T,“CHUANG SONG ZONG” Wu Wei Xiao Du Yin Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTICAL CO., LTD., (Ligang Factory)(TAIWAN)",2/5/2018,2/5/2023,New Registration Approval
427,201710040864T,MAL18056033T,Lovescor Capsule,Dong Foong Manufacturing Sdn Bhd,Dong Foong Manufacturing Sdn Bhd(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
428,201710300967N,MAL18056001N,GNC KRILL OIL 500MG Enteric Coated Softgel,ONI Global (Malaysia) Sdn Bhd,"NUTRA MANUFACTURING, INC.(UNITED STATES)",2/5/2018,2/5/2023,New Registration Approval
429,201710190929T,MAL18056134T,Yi Shi Yuan Xin Ban Xia Xie Xin Tang Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),23/5/2018,23/5/2023,New Registration Approval
430,201712181193T,MAL18056130T,“CHUANG SONG ZONG” Bae Her Guh Jin Tang Concentrated Granules,GREEN HERB BIOTECH SDN. BHD.,"CHUANG SONG ZONG PHARMACEUTICAL CO., LTD., (Ligang Factory)(TAIWAN)",23/5/2018,23/5/2023,New Registration Approval
431,201710240941T,MAL18056104T,Yi Shi Yuan Huai Hua San,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),23/5/2018,23/5/2023,New Registration Approval
432,201710240942T,MAL18056043T,Yi Shi Yuan Xin Bai He Gu Jin Tang Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),2/5/2018,2/5/2023,New Registration Approval
433,201710240943T,MAL18056150T,Yi Shi Yuan Wu Zhu Yu Tang Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),23/5/2018,23/5/2023,New Registration Approval
434,201710190925T,MAL18056103TC,GRETEA GARCI PLUS CAPSULE 500MG,VIHSDIA ENTERPRISE,DZ TRADE (MALAYSIA) SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
435,201710270956H A,MAL18056081HAC,PF TILMICOSIN PREMIX 20% W/W POWDER,Panfast Marketing (m) Sdn Bhd,Shennong Animal Health (Malaysia) Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
436,201710300978H A,MAL18056080HAC,Metaenro 20% w/v Oral Solution,Nutri Pharmax Sdn Bhd,Nam Pharma Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
437,201710190935T,MAL18056128T,Yi Shi Yuan Xin Ba Wei Di Huang Wan Fine Powder,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),23/5/2018,23/5/2023,New Registration Approval
438,201710190922T,MAL18056038T,Hexacor capsule,Dong Foong Manufacturing Sdn Bhd,Dong Foong Manufacturing Sdn Bhd(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
439,201710050870N,MAL18056141N,ELKEN COLOSTRUM 250mg Chewable Tablet,MRT SDN. BHD.,MRT SDN. BHD.(MALAYSIA),23/5/2018,23/5/2023,New Registration Approval
440,201710300985T,MAL18056039TC,ALMAA Triphala Powder 3g,VM ALMAA HERBAL AND HEALTH CARE SDN BHD,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
441,201710270957H A,MAL18056079HAC,PF FLORFENICOL PREMIX 20% W/W POWDER,Panfast Marketing (m) Sdn Bhd,Shennong Animal Health (Malaysia) Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
442,201710270958H A,MAL18056078HAC,PF OXYTETRACYCLINE PREMIX 20% W/W POWDER,Panfast Marketing (m) Sdn Bhd,Shennong Animal Health (Malaysia) Sdn. Bhd.(MALAYSIA),31/5/2018,31/5/2023,New Registration Approval
443,201711081037T,MAL18056117T,Yi Shi Yuan Xin Zhi Sou San,Yi Si Yuan Trading Sdn. Bhd.,Yi Shi Yuan Pte Ltd(SINGAPORE),23/5/2018,23/5/2023,New Registration Approval
444,201711111045T,MAL18056055T,Nabisar SEABUCKTHORN 450mg Capsule,CAMBRIDGE BIOTEK SDN BHD,CAMBRIDGE BIOTEK SDN BHD(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
445,201710270963T,MAL18056042TC,GAHERBS MINYAK GAMAT PLUS MULTIHERBS,GAH GLOBAL ENTERPRISE,SARI TANI DESA SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
446,201712201235N,MAL18056142N,natural Factors® Vitamins K 120 mcg & D 1000 IU Softgel,NUVANTA SDN. BHD.,Factors Group of Nutritional Companies Inc.(CANADA),23/5/2018,23/5/2023,New Registration Approval
447,201711161067T,MAL18056160T,GNC Herbal Plus Turmeric Black Pepper Caplet,ONI Global (Malaysia) Sdn Bhd,"NUTRA MANUFACTURING, INC.(UNITED STATES)",23/5/2018,23/5/2023,New Registration Approval
448,201712051145T,MAL18056049TC,NUTRIGANIC Ginkgo Plus Sea Buckthorn Capsule,BIO PROVITA SDN BHD,EXCEL HERBAL INDUSTRIES SDN. BHD.(MALAYSIA),2/5/2018,2/5/2023,New Registration Approval
